Definiere: Marke	"Ein Zeichen, das geeignet ist, Waren oder Dienstleistungen eines Unternehmens von denjenigen anderer Unternehmen zu unterscheiden (<a href=""https://www.gesetze-im-internet.de/markeng/__3.html"" target=""_blank"" rel=""noopener"" class=""lawlink"">§ 3 Abs. 1 MarkenG</a>). Schutz entsteht durch Eintragung, Verkehrsgeltung oder notorische Bekanntheit (<a href=""https://www.gesetze-im-internet.de/markeng/__4.html"" target=""_blank"" rel=""noopener"" class=""lawlink"">§ 4 MarkenG</a>).<br><br>Normen: <a href=""https://eur-lex.europa.eu/legal-content/DE/TXT/?uri=CELEX:32015L2436"" target=""_blank"" rel=""noopener"" class=""lawlink"">Art. 1 MarkenRL</a>, <a href=""https://www.gesetze-im-internet.de/markeng/__1.html"" target=""_blank"" rel=""noopener"" class=""lawlink"">§ 1 MarkenG</a>, <a href=""https://www.gesetze-im-internet.de/markeng/__3.html"" target=""_blank"" rel=""noopener"" class=""lawlink"">§ 3 MarkenG</a>, <a href=""https://www.gesetze-im-internet.de/markeng/__4.html"" target=""_blank"" rel=""noopener"" class=""lawlink"">§ 4 MarkenG</a>"	Begriff Grundlagen
"Was regelt <a href=""https://www.unifiedpatentcourt.org/sites/default/files/upc_documents/Consolidated%20Rules%20of%20Procedure%20UPC_DE.pdf"" target=""_blank"" rel=""noopener"" class=""lawlink"">R. 37 VerfO</a> (Anwendung von Artikel 33 Absatz 3 des Übereinkommens)?"	"Anwendung von Artikel 33 Absatz 3 des Übereinkommens<br><br>Der Spruchkörper entscheidet so bald wie möglich nach Abschluss des schriftlichen Verfahrens durch Anordnung, wie in Bezug auf die Anwendung von Artikel 33 Absatz 3 des Übereinkommens zu verfahren ist. Den Parteien ist rechtliches Gehör zu gewähren [Regel 264]. Der Spruchkörper legt in seiner Anordnung die Gründe für seine Entscheidung kurz dar.<br><br>Hinweis: Entscheidung der Lokalkammer über die drei Optionen des <a href=""https://eur-lex.europa.eu/legal-content/DE/TXT/?uri=CELEX:42013A0620(01)"" target=""_blank"" rel=""noopener"" class=""lawlink"">Art. 33 Abs. 3 EPGÜ</a> nach Abschluss des schriftlichen Verfahrens.<br><br>In 49 Entscheidungen des EPG zitiert."	EPG VerfO
"Was regelt <a href=""https://www.unifiedpatentcourt.org/sites/default/files/upc_documents/Consolidated%20Rules%20of%20Procedure%20UPC_DE.pdf"" target=""_blank"" rel=""noopener"" class=""lawlink"">R. 42 VerfO</a> (Klage gegen den Patentinhaber)?"	"Klage gegen den Patentinhaber<br><br>Jede Klage auf Nichtigerklärung eines Patents ist gegen den Inhaber des Patents zu richten.<br><br>Bezug: <a href=""https://eur-lex.europa.eu/legal-content/DE/TXT/?uri=CELEX:42013A0620(01)"" target=""_blank"" rel=""noopener"" class=""lawlink"">Art. 1 EPGÜ</a>, <a href=""https://eur-lex.europa.eu/legal-content/DE/TXT/?uri=CELEX:42013A0620(01)"" target=""_blank"" rel=""noopener"" class=""lawlink"">Art. 47 EPGÜ</a>, <a href=""https://eur-lex.europa.eu/legal-content/DE/TXT/?uri=CELEX:42013A0620(01)"" target=""_blank"" rel=""noopener"" class=""lawlink"">Art. 5 EPGÜ</a>, <a href=""https://eur-lex.europa.eu/legal-content/DE/TXT/?uri=CELEX:42013A0620(01)"" target=""_blank"" rel=""noopener"" class=""lawlink"">Art. 65 EPGÜ</a><br><br>In 17 Entscheidungen des EPG zitiert."	EPG VerfO
"Was regelt <a href=""https://www.unifiedpatentcourt.org/sites/default/files/upc_documents/Consolidated%20Rules%20of%20Procedure%20UPC_DE.pdf"" target=""_blank"" rel=""noopener"" class=""lawlink"">R. 43 VerfO</a> (Austausch von Schriftsätzen (Klage auf Nichtigerklärung))?"	Austausch von Schriftsätzen (Klage auf Nichtigerklärung)<br><br>Das schriftliche Verfahren umfasst: (a) die Einreichung einer Klage auf Nichtigerklärung (durch den Kläger) [Regel 44] und (b) die Einreichung einer Erwiderung auf die Nichtigkeitsklage (durch den Beklagten) [Regel 49] sowie optional (c) die Einreichung einer Replik auf die Erwiderung auf die Nichtigkeitsklage (durch den Kläger) [Regel 51], (d) die Einreichung einer Duplik auf die Replik (durch den Beklagten) [Regel 52].<br><br>In 6 Entscheidungen des EPG zitiert.	EPG VerfO
"Was regelt <a href=""https://www.unifiedpatentcourt.org/sites/default/files/upc_documents/Consolidated%20Rules%20of%20Procedure%20UPC_DE.pdf"" target=""_blank"" rel=""noopener"" class=""lawlink"">R. 44 VerfO</a> (Inhalt der Klage auf Nichtigerklärung)?"	Inhalt der Klage auf Nichtigerklärung<br><br>Vorbehaltlich des Punktes (b) hat der Kläger die Klage auf Nichtigerklärung bei der Kanzlei nach Maßgabe von Artikel 7 Absatz 2 des Übereinkommens und Anhang II zum Übereinkommen einzureichen. Die Klage auf Nichtigerklärung muss enthalten: (a) die Angaben gemäß Regel 13.1(a) bis (d) und (g), (h), (b) soweit die Parteien vereinbart haben, die Klage gemäß Artikel 33 Absatz 7 des Übereinkommens vor einer Lokal- oder Regionalkammer zu erheben, die Angabe der Kammer, vor der die Klage verhandelt werden soll, zusammen mit dem Nachweis des Einverständnisses des Beklagten, (c) gegebenenfalls die Angab …<br><br>In 10 Entscheidungen des EPG zitiert.	EPG VerfO
"Was regelt <a href=""https://www.unifiedpatentcourt.org/sites/default/files/upc_documents/Consolidated%20Rules%20of%20Procedure%20UPC_DE.pdf"" target=""_blank"" rel=""noopener"" class=""lawlink"">R. 48 VerfO</a> (Einspruch)?"	Einspruch<br><br>Regel 19.1 bis .3 und .5 bis .7 sowie die Regeln 20 und 21 gelten entsprechend.<br><br>In 2 Entscheidungen des EPG zitiert.	EPG VerfO
"Was regelt <a href=""https://www.unifiedpatentcourt.org/sites/default/files/upc_documents/Consolidated%20Rules%20of%20Procedure%20UPC_DE.pdf"" target=""_blank"" rel=""noopener"" class=""lawlink"">R. 49 VerfO</a> (Einreichung der Erwiderung auf die Nichtigkeitsklage)?"	Einreichung der Erwiderung auf die Nichtigkeitsklage<br><br>Der Beklagte hat die Erwiderung auf die Nichtigkeitsklage innerhalb von zwei Monaten nach Zustellung der Klage auf Nichtigerklärung einzureichen.<br><br>In 8 Entscheidungen des EPG zitiert.	EPG VerfO
"Was regelt <a href=""https://www.unifiedpatentcourt.org/sites/default/files/upc_documents/Consolidated%20Rules%20of%20Procedure%20UPC_DE.pdf"" target=""_blank"" rel=""noopener"" class=""lawlink"">R. 50 VerfO</a> (Inhalt der Erwiderung auf die Nichtigkeitsklage und Verletzungswiderklage)?"	Inhalt der Erwiderung auf die Nichtigkeitsklage und Verletzungswiderklage<br><br>Die Erwiderung auf die Nichtigkeitsklage muss die in Regel 24(a) bis (c) bezeichneten Angaben enthalten. Regel 29A(a) bis (d) und (f) gilt entsprechend.<br><br>In 18 Entscheidungen des EPG zitiert.	EPG VerfO
"Was regelt <a href=""https://www.unifiedpatentcourt.org/sites/default/files/upc_documents/Consolidated%20Rules%20of%20Procedure%20UPC_DE.pdf"" target=""_blank"" rel=""noopener"" class=""lawlink"">R. 85 VerfO</a> (Verfahrensabschnitte (Ex-parte-Verfahren))?"	Verfahrensabschnitte (Ex-parte-Verfahren)<br><br>Wird gegen eine Entscheidung des Europäischen Patentamts, die im Rahmen der Ausführung der in Artikel 9 der Verordnung (EU) Nr. 1257/2012 genannten Aufgaben ergangen ist (im Folgenden „Entscheidung des Amtes“), Klage eingereicht, umfasst das Verfahren vor dem Gericht erster Instanz vorbehaltlich des Absatzes 2 (a) ein schriftliches Verfahren einschließlich der Möglichkeit einer Zwischenprüfung durch das Europäische Patentamt, (b) ein Zwischenverfahren, das auch eine Zwischenanhörung einschließen kann, und (c) ein mündliches Verfahren, das auf Antrag des Klägers oder auf Veranlassung des Gerich …<br><br>In 1 Entscheidungen des EPG zitiert.	EPG VerfO
"Was regelt <a href=""https://www.unifiedpatentcourt.org/sites/default/files/upc_documents/Consolidated%20Rules%20of%20Procedure%20UPC_DE.pdf"" target=""_blank"" rel=""noopener"" class=""lawlink"">R. 88 VerfO</a> (Antrag auf Aufhebung oder Abänderung einer Entscheidung des Amtes)?"	"Antrag auf Aufhebung oder Abänderung einer Entscheidung des Amtes<br><br>Der Kläger hat einen Antrag auf Aufhebung oder Abänderung einer Entscheidung des Amtes innerhalb von zwei Monaten nach Zustellung der Entscheidung des Amtes bei der nach Artikel 7 Abs. 2 des Übereinkommens und Anhang II zum Übereinkommen zuständigen Kanzlei in der Sprache einzureichen, in der das Patent erteilt wurde.<br><br>Bezug: <a href=""https://eur-lex.europa.eu/legal-content/DE/TXT/?uri=CELEX:42013A0620(01)"" target=""_blank"" rel=""noopener"" class=""lawlink"">Art. 1 EPGÜ</a>, <a href=""https://eur-lex.europa.eu/legal-content/DE/TXT/?uri=CELEX:42013A0620(01)"" target=""_blank"" rel=""noopener"" class=""lawlink"">Art. 32 EPGÜ</a>, <a href=""https://eur-lex.europa.eu/legal-content/DE/TXT/?uri=CELEX:42013A0620(01)"" target=""_blank"" rel=""noopener"" class=""lawlink"">Art. 47 EPGÜ</a>, <a href=""https://eur-lex.europa.eu/legal-content/DE/TXT/?uri=CELEX:42013A0620(01)"" target=""_blank"" rel=""noopener"" class=""lawlink"">Art. 48 EPGÜ</a>, <a href=""https://eur-lex.europa.eu/legal-content/DE/TXT/?uri=CELEX:42013A0620(01)"" target=""_blank"" rel=""noopener"" class=""lawlink"">Art. 49 EPGÜ</a>, <a href=""https://eur-lex.europa.eu/legal-content/DE/TXT/?uri=CELEX:42013A0620(01)"" target=""_blank"" rel=""noopener"" class=""lawlink"">Art. 6 EPGÜ</a>, <a href=""https://eur-lex.europa.eu/legal-content/DE/TXT/?uri=CELEX:42013A0620(01)"" target=""_blank"" rel=""noopener"" class=""lawlink"">Art. 7 EPGÜ</a><br><br>In 2 Entscheidungen des EPG zitiert."	EPG VerfO
"Was regelt <a href=""https://www.unifiedpatentcourt.org/sites/default/files/upc_documents/Consolidated%20Rules%20of%20Procedure%20UPC_DE.pdf"" target=""_blank"" rel=""noopener"" class=""lawlink"">R. 91 VerfO</a> (Zwischenprüfung durch das Europäische Patentamt)?"	Zwischenprüfung durch das Europäische Patentamt<br><br>Ist das Europäische Patentamt der Ansicht, dass der Antrag auf Aufhebung oder Abänderung einer Entscheidung des Amtes begründet ist, hat es innerhalb von zwei Monaten ab Eingang des Antrags (a) die angefochtene Entscheidung gemäß der vom Kläger beantragten Anordnung oder Abhilfe zu berichtigen [Regel 88.2(g)] und (b) das Gericht darüber zu unterrichten, dass die Entscheidung berichtigt wurde.<br><br>In 4 Entscheidungen des EPG zitiert.	EPG VerfO
"Was regelt <a href=""https://www.unifiedpatentcourt.org/sites/default/files/upc_documents/Consolidated%20Rules%20of%20Procedure%20UPC_DE.pdf"" target=""_blank"" rel=""noopener"" class=""lawlink"">R. 97 VerfO</a> (Antrag auf Aufhebung einer Entscheidung des Amtes, einen Antrag auf einheitliche Wirkung abzulehnen)?"	Antrag auf Aufhebung einer Entscheidung des Amtes, einen Antrag auf einheitliche Wirkung abzulehnen<br><br>Der Inhaber eines Patents, dessen Antrag auf einheitliche Wirkung vom Amt abgelehnt wurde, hat innerhalb von drei Wochen nach Zustellung der Entscheidung des Europäischen Patentamts bei der Kanzlei nach Maßgabe von Artikel 7 Abs. 2 des Übereinkommens und Anhang II zum Übereinkommen in der Sprache, in der das Patent erteilt wurde, einen Antrag auf Aufhebung der Entscheidung des Amtes einzureichen.<br><br>In 7 Entscheidungen des EPG zitiert.	EPG VerfO
"Was regelt <a href=""https://www.unifiedpatentcourt.org/sites/default/files/upc_documents/Consolidated%20Rules%20of%20Procedure%20UPC_DE.pdf"" target=""_blank"" rel=""noopener"" class=""lawlink"">R. 101 VerfO</a> (Rolle des Berichterstatters (Verfahrensleitung))?"	"Rolle des Berichterstatters (Verfahrensleitung)<br><br>Der Berichterstatter trifft während des Zwischenverfahrens alle notwendigen Vorbereitungen für die mündliche Verhandlung. Insbesondere kann er, sofern angebracht und vorbehaltlich des Mandats des Spruchkörpers, eine Zwischenanhörung mit den Parteien abhalten, auch mehrmalig, und die in Regel 334 vorgesehenen Befugnisse ausüben.<br><br>Bezug: <a href=""https://eur-lex.europa.eu/legal-content/DE/TXT/?uri=CELEX:42013A0620(01)"" target=""_blank"" rel=""noopener"" class=""lawlink"">Art. 2 EPGÜ</a>, <a href=""https://eur-lex.europa.eu/legal-content/DE/TXT/?uri=CELEX:42013A0620(01)"" target=""_blank"" rel=""noopener"" class=""lawlink"">Art. 3 EPGÜ</a>, <a href=""https://eur-lex.europa.eu/legal-content/DE/TXT/?uri=CELEX:42013A0620(01)"" target=""_blank"" rel=""noopener"" class=""lawlink"">Art. 43 EPGÜ</a>, <a href=""https://eur-lex.europa.eu/legal-content/DE/TXT/?uri=CELEX:42013A0620(01)"" target=""_blank"" rel=""noopener"" class=""lawlink"">Art. 52 EPGÜ</a><br><br>In 10 Entscheidungen des EPG zitiert."	EPG VerfO
"Was regelt <a href=""https://www.unifiedpatentcourt.org/sites/default/files/upc_documents/Consolidated%20Rules%20of%20Procedure%20UPC_DE.pdf"" target=""_blank"" rel=""noopener"" class=""lawlink"">R. 102 VerfO</a> (Verweisung an den Spruchkörper)?"	Verweisung an den Spruchkörper<br><br>Der Berichterstatter kann jede Angelegenheit zur Entscheidung an den Spruchkörper verweisen. Der Spruchkörper kann jede Entscheidung oder Anordnung des Berichterstatters oder die Führung des Zwischenverfahrens von Amts wegen prüfen.<br><br>In 98 Entscheidungen des EPG zitiert.	EPG VerfO
"Was regelt <a href=""https://www.unifiedpatentcourt.org/sites/default/files/upc_documents/Consolidated%20Rules%20of%20Procedure%20UPC_DE.pdf"" target=""_blank"" rel=""noopener"" class=""lawlink"">R. 103 VerfO</a> (Vorbereitung der Zwischenanhörung)?"	Vorbereitung der Zwischenanhörung<br><br>Unabhängig davon, ob der Berichterstatter beschließt, eine Zwischenanhörung abzuhalten, kann der Berichterstatter die Parteien insbesondere dazu auffordern, innerhalb festzusetzender Fristen (a) bestimmte Punkte weiter zu präzisieren; (b) konkrete Fragen zu beantworten; (c) Beweismittel vorzulegen; (d) bestimmte Unterlagen einzureichen, einschließlich von den Parteien erstellter Übersichten über die Anträge, die bei der Zwischenanhörung jeweils gestellt werden sollen. Der Berichterstatter unterrichtet die betreffende Partei gleichzeitig darüber, dass eine Versäumnisentscheidung nach Regel 355  …<br><br>In 10 Entscheidungen des EPG zitiert.	EPG VerfO
"Was regelt <a href=""https://www.unifiedpatentcourt.org/sites/default/files/upc_documents/Consolidated%20Rules%20of%20Procedure%20UPC_DE.pdf"" target=""_blank"" rel=""noopener"" class=""lawlink"">R. 104 VerfO</a> (Ziel der Zwischenanhörung)?"	"Ziel der Zwischenanhörung<br><br>Die Zwischenanhörung soll den Berichterstatter in die Lage versetzen, (a) die wichtigsten Punkte zu identifizieren und festzustellen, welche maßgeblichen Tatsachen streitig sind; (b) gegebenenfalls die Haltung der Parteien zu diesen Punkten und Tatsachen zu klären; (c) einen Zeitplan für den weiteren Verlauf des Verfahrens zu erstellen; (d) mit den Parteien die Möglichkeiten einer Streitbeilegung oder Nutzung des Zentrums zu erörtern; (e) gegebenenfalls Anordnungen hinsichtlich weiterer Schriftsätze, Unterlagen, Sachverständiger (einschließlich gerichtlicher Sachverständiger), Versuchen, Inspe …<br><br>Bezug: <a href=""https://eur-lex.europa.eu/legal-content/DE/TXT/?uri=CELEX:42013A0620(01)"" target=""_blank"" rel=""noopener"" class=""lawlink"">Art. 2 EPGÜ</a>, <a href=""https://eur-lex.europa.eu/legal-content/DE/TXT/?uri=CELEX:42013A0620(01)"" target=""_blank"" rel=""noopener"" class=""lawlink"">Art. 52 EPGÜ</a><br><br>In 29 Entscheidungen des EPG zitiert."	EPG VerfO
"Was regelt <a href=""https://www.unifiedpatentcourt.org/sites/default/files/upc_documents/Consolidated%20Rules%20of%20Procedure%20UPC_DE.pdf"" target=""_blank"" rel=""noopener"" class=""lawlink"">R. 105 VerfO</a> (Ablauf der Zwischenanhörung)?"	Ablauf der Zwischenanhörung<br><br>Sofern möglich sollte die Zwischenanhörung per Telefon- oder Videokonferenz erfolgen.<br><br>In 53 Entscheidungen des EPG zitiert.	EPG VerfO
"Was regelt <a href=""https://www.unifiedpatentcourt.org/sites/default/files/upc_documents/Consolidated%20Rules%20of%20Procedure%20UPC_DE.pdf"" target=""_blank"" rel=""noopener"" class=""lawlink"">R. 108 VerfO</a> (Ladung zur mündlichen Verhandlung)?"	Ladung zur mündlichen Verhandlung<br><br>Der Berichterstatter lädt die Parteien zur mündlichen Verhandlung, die an dem/den gemäß den Regeln 28 und/oder 41(c) und 104(h) bestimmten Termin/en vor dem Spruchkörper stattfindet. Wurde kein Termin/wurden keine Termine bestimmt, bestimmt der Berichterstatter einen Termin für die mündliche Verhandlung. Die Ladungsfrist beträgt mindestens zwei Monate, sofern die Parteien sich nicht auf eine kürzere Frist einigen.<br><br>In 5 Entscheidungen des EPG zitiert.	EPG VerfO
"Was regelt <a href=""https://www.unifiedpatentcourt.org/sites/default/files/upc_documents/Consolidated%20Rules%20of%20Procedure%20UPC_DE.pdf"" target=""_blank"" rel=""noopener"" class=""lawlink"">R. 109 VerfO</a> (Simultanverdolmetschung der mündlichen Verhandlung)?"	"Simultanverdolmetschung der mündlichen Verhandlung<br><br>Spätestens einen Monat vor der mündlichen Verhandlung, einschließlich etwaiger gesonderter Vernehmungen von Zeugen und Sachverständigen, kann eine Partei einen Antrag auf Simultanverdolmetschung stellen, der Folgendes enthalten muss: (a) die Angabe der Sprache, in die oder aus der die Partei während der mündlichen Verhandlung eine Simultanverdolmetschung beantragt; (b) eine Begründung des Antrags; (c) das betreffende technische Fachgebiet; (d) alle sonstigen Informationen, die für den Antrag von Bedeutung sind.<br><br>Bezug: <a href=""https://eur-lex.europa.eu/legal-content/DE/TXT/?uri=CELEX:42013A0620(01)"" target=""_blank"" rel=""noopener"" class=""lawlink"">Art. 2 EPGÜ</a>, <a href=""https://eur-lex.europa.eu/legal-content/DE/TXT/?uri=CELEX:42013A0620(01)"" target=""_blank"" rel=""noopener"" class=""lawlink"">Art. 51 EPGÜ</a><br><br>In 23 Entscheidungen des EPG zitiert."	EPG VerfO
"Was regelt <a href=""https://www.unifiedpatentcourt.org/sites/default/files/upc_documents/Consolidated%20Rules%20of%20Procedure%20UPC_DE.pdf"" target=""_blank"" rel=""noopener"" class=""lawlink"">R. 111 VerfO</a> (Rolle des Vorsitzenden Richters (Verfahrensleitung))?"	Rolle des Vorsitzenden Richters (Verfahrensleitung)<br><br>Der Vorsitzende Richter (a) verfügt über alle Befugnisse zur Sicherstellung eines fairen, geregelten und effizienten mündlichen Verfahrens und (b) stellt sicher, dass das Verfahren am Ende der mündlichen Verhandlung in der Hauptsache entscheidungsreif ist.<br><br>In 5 Entscheidungen des EPG zitiert.	EPG VerfO
"Was regelt <a href=""https://www.unifiedpatentcourt.org/sites/default/files/upc_documents/Consolidated%20Rules%20of%20Procedure%20UPC_DE.pdf"" target=""_blank"" rel=""noopener"" class=""lawlink"">R. 112 VerfO</a> (Durchführung der mündlichen Verhandlung)?"	"Durchführung der mündlichen Verhandlung<br><br>Die mündliche Verhandlung findet vor dem Spruchkörper und unter der Leitung des Vorsitzenden Richters statt.<br><br>Bezug: <a href=""https://eur-lex.europa.eu/legal-content/DE/TXT/?uri=CELEX:42013A0620(01)"" target=""_blank"" rel=""noopener"" class=""lawlink"">Art. 1 EPGÜ</a>, <a href=""https://eur-lex.europa.eu/legal-content/DE/TXT/?uri=CELEX:42013A0620(01)"" target=""_blank"" rel=""noopener"" class=""lawlink"">Art. 3 EPGÜ</a>, <a href=""https://eur-lex.europa.eu/legal-content/DE/TXT/?uri=CELEX:42013A0620(01)"" target=""_blank"" rel=""noopener"" class=""lawlink"">Art. 52 EPGÜ</a>, <a href=""https://eur-lex.europa.eu/legal-content/DE/TXT/?uri=CELEX:42013A0620(01)"" target=""_blank"" rel=""noopener"" class=""lawlink"">Art. 53 EPGÜ</a><br><br>In 6 Entscheidungen des EPG zitiert."	EPG VerfO
"Was regelt <a href=""https://www.unifiedpatentcourt.org/sites/default/files/upc_documents/Consolidated%20Rules%20of%20Procedure%20UPC_DE.pdf"" target=""_blank"" rel=""noopener"" class=""lawlink"">R. 113 VerfO</a> (Dauer der mündlichen Verhandlung)?"	Dauer der mündlichen Verhandlung<br><br>Unbeschadet des Grundsatzes der Verhältnismäßigkeit strebt der Vorsitzende Richter an, die mündliche Verhandlung innerhalb eines Tages abzuschließen. Im Vorfeld der mündlichen Verhandlung kann der Vorsitzende Richter zeitliche Begrenzungen für die mündlichen Ausführungen der Parteien festlegen.<br><br>In 5 Entscheidungen des EPG zitiert.	EPG VerfO
"Was regelt <a href=""https://www.unifiedpatentcourt.org/sites/default/files/upc_documents/Consolidated%20Rules%20of%20Procedure%20UPC_DE.pdf"" target=""_blank"" rel=""noopener"" class=""lawlink"">R. 115 VerfO</a> (Die mündliche Verhandlung)?"	"Die mündliche Verhandlung<br><br>Die mündliche Verhandlung und alle gesonderten Zeugenvernehmungen sind öffentlich, es sei denn, das Gericht beschließt, eine Verhandlung, soweit erforderlich, im Interesse einer der Parteien oder Dritter oder im allgemeinen Interesse der Justiz oder der öffentlichen Ordnung unter Ausschluss der Öffentlichkeit zu führen. Es wird eine Tonaufzeichnung der Verhandlung angefertigt. Die Aufzeichnung wird den Parteien bzw. deren Vertretern nach der Anhörung in den Räumlichkeiten des Gerichts zugänglich gemacht. Regel 103 gilt entsprechend.<br><br>Bezug: <a href=""https://eur-lex.europa.eu/legal-content/DE/TXT/?uri=CELEX:42013A0620(01)"" target=""_blank"" rel=""noopener"" class=""lawlink"">Art. 45 EPGÜ</a><br><br>In 34 Entscheidungen des EPG zitiert."	EPG VerfO
"Was regelt <a href=""https://www.unifiedpatentcourt.org/sites/default/files/upc_documents/Consolidated%20Rules%20of%20Procedure%20UPC_DE.pdf"" target=""_blank"" rel=""noopener"" class=""lawlink"">R. 116 VerfO</a> (Abwesenheit einer Partei in der mündlichen Verhandlung)?"	Abwesenheit einer Partei in der mündlichen Verhandlung<br><br>Eine Partei, die in der mündlichen Verhandlung nicht vertreten sein möchte, hat die Kanzlei rechtzeitig hierüber zu unterrichten. Haben beide Parteien die Kanzlei darüber unterrichtet, dass sie in der mündlichen Verhandlung nicht vertreten sein möchten, kann das Gericht die Klage gemäß Regel 117 entscheiden.<br><br>In 2 Entscheidungen des EPG zitiert.	EPG VerfO
"Was regelt <a href=""https://www.unifiedpatentcourt.org/sites/default/files/upc_documents/Consolidated%20Rules%20of%20Procedure%20UPC_DE.pdf"" target=""_blank"" rel=""noopener"" class=""lawlink"">R. 118 VerfO</a> (Entscheidung in der Sache)?"	"Entscheidung in der Sache<br><br>Zusätzlich zu den Anordnungen und Maßnahmen und unbeschadet des in den Artikeln 63, 64, 67 und 80 des Übereinkommens vorgesehenen gerichtlichen Ermessens kann das Gericht auf Antrag die Zahlung von Schadenersatz oder Entschädigung gemäß den Artikeln 68 und 32 Absatz 1 Buchstabe f des Übereinkommens anordnen. Die Höhe des Schadenersatzes oder der Entschädigung kann in der Anordnung angegeben oder in einem gesonderten Verfahren bestimmt werden [Regeln 125-144].<br><br>Bezug: <a href=""https://eur-lex.europa.eu/legal-content/DE/TXT/?uri=CELEX:42013A0620(01)"" target=""_blank"" rel=""noopener"" class=""lawlink"">Art. 77 EPGÜ</a><br><br>Hinweis: Entscheidung in der Sache: Anordnungen, Zwangsgeld, Sicherheitsleistung, Aussetzung bei parallelem EPA-Verfahren (Abs. 2), Vollstreckbarkeit (Abs. 8).<br><br>In 189 Entscheidungen des EPG zitiert."	EPG VerfO
"Was regelt <a href=""https://www.unifiedpatentcourt.org/sites/default/files/upc_documents/Consolidated%20Rules%20of%20Procedure%20UPC_DE.pdf"" target=""_blank"" rel=""noopener"" class=""lawlink"">R. 119 VerfO</a> (Vorläufige Zuerkennung von Schadenersatz)?"	Vorläufige Zuerkennung von Schadenersatz<br><br>In der Entscheidung in der Hauptsache kann das Gericht der obsiegenden Partei, unter von ihm festgelegten Bedingungen, vorläufigen Schadenersatz zuerkennen. Dieser soll zumindest die voraussichtlichen Kosten für das Schadenersatz- und Entschädigungsverfahren auf Seiten der obsiegenden Partei abdecken.<br><br>In 58 Entscheidungen des EPG zitiert.	EPG VerfO
"Was regelt <a href=""https://www.unifiedpatentcourt.org/sites/default/files/upc_documents/Consolidated%20Rules%20of%20Procedure%20UPC_DE.pdf"" target=""_blank"" rel=""noopener"" class=""lawlink"">R. 125 VerfO</a> (Gesondertes Verfahren zur Festsetzung der Höhe des angeordneten Schadenersatzes)?"	Gesondertes Verfahren zur Festsetzung der Höhe des angeordneten Schadenersatzes<br><br>Die Festsetzung der Höhe des der obsiegenden Partei zuzusprechenden Schadenersatzes kann Gegenstand eines gesonderten Verfahrens sein. Diese Festsetzung umfasst gegebenenfalls die Festsetzung der Höhe der Entschädigung, die infolge des vorläufigen Schutzes zuzusprechen ist, den eine veröffentlichte Anmeldung eines europäischen Patents gewährt [Artikel 32 Absatz 1 Buchstabe f des Übereinkommens, Artikel 67 EPÜ], sowie der gemäß den Regeln 118.1, 198.2, 213.2 und 354.2 zu zahlenden Entschädigung. Der in Kapitel 4 verwendete Begriff „Schadenersatz“ ist so zu verstehen, dass er eine solche Entschä …<br><br>In 29 Entscheidungen des EPG zitiert.	EPG VerfO
"Was regelt <a href=""https://www.unifiedpatentcourt.org/sites/default/files/upc_documents/Consolidated%20Rules%20of%20Procedure%20UPC_DE.pdf"" target=""_blank"" rel=""noopener"" class=""lawlink"">R. 126 VerfO</a> (Einleitung des Verfahrens zur Festsetzung des Schadensersatzes)?"	"Einleitung des Verfahrens zur Festsetzung des Schadensersatzes<br><br>Wünscht die obsiegende Partei eine Festsetzung der Höhe des Schadenersatzes, muss sie innerhalb eines Jahres nach Zustellung der Endentscheidung in der Sache (einschließlich einer etwaigen Endentscheidung über eine Berufung) zur Verletzung und zur Rechtsgültigkeit (oder, im Falle der Zuerkennung einer Entschädigung gemäß den Regeln 118.1, 198.2, 213.2 oder 354.2 nach dem Tag des Zuspruchs) einen Antrag auf Festsetzung des Schadensersatzes stellen; dieser kann einen Antrag auf Anordnung der Offenlegung der Bücher beinhalten.<br><br>Bezug: <a href=""https://eur-lex.europa.eu/legal-content/DE/TXT/?uri=CELEX:42013A0620(01)"" target=""_blank"" rel=""noopener"" class=""lawlink"">Art. 68 EPGÜ</a><br><br>In 4 Entscheidungen des EPG zitiert."	EPG VerfO
"Was regelt <a href=""https://www.unifiedpatentcourt.org/sites/default/files/upc_documents/Consolidated%20Rules%20of%20Procedure%20UPC_DE.pdf"" target=""_blank"" rel=""noopener"" class=""lawlink"">R. 131 VerfO</a> (Inhalt des Antrags auf Festsetzung von Schadensersatz)?"	Inhalt des Antrags auf Festsetzung von Schadensersatz<br><br>Der Antrag auf Festsetzung von Schadensersatz muss enthalten: (a) die Angaben gemäß Regel 13.1(a) bis (d); (b) das Datum der Sachentscheidung und das Aktenzeichen; (c) soweit erforderlich einen Antrag auf Anordnung der Offenlegung der Bücher (Regeln 141 bis 144); in diesem Fall hat der Antragsteller die Angaben gemäß Regel 141(b) bis (e) zu machen.<br><br>In 4 Entscheidungen des EPG zitiert.	EPG VerfO
